modello,indice,test,categoria,origine,messaggio
1b,95,test_flag_meaning_gs,NameError,test,name 'flag_meaning' is not defined
1b,95,test_flag_meaning_mr,NameError,test,name 'flag_meaning' is not defined
1b,95,test_flag_meaning_ns,NameError,test,name 'flag_meaning' is not defined
1b,95,test_flag_meaning_pe,NameError,test,name 'flag_meaning' is not defined
1b,95,test_flag_meaning_ps,NameError,test,name 'flag_meaning' is not defined
1b,95,test_flag_meaning_pn,NameError,test,name 'flag_meaning' is not defined
1b,95,test_flag_meaning_qn,NameError,test,name 'flag_meaning' is not defined
1b,95,test_flag_meaning_sd,NameError,test,name 'flag_meaning' is not defined
1b,95,test_flag_meaning_se,NameError,test,name 'flag_meaning' is not defined
1b,95,test_flag_meaning_ss,NameError,test,name 'flag_meaning' is not defined
1b,96,test_coord_finder_1,NameError,test,name 'coord_finder' is not defined
1b,96,test_coord_finder_2,NameError,test,name 'coord_finder' is not defined
1b,96,test_coord_finder_3,NameError,test,name 'coord_finder' is not defined
1b,96,test_coord_finder_4,NameError,test,name 'coord_finder' is not defined
1b,96,test_coord_finder_5,NameError,test,name 'coord_finder' is not defined
1b,96,test_coord_finder_6,NameError,test,name 'coord_finder' is not defined
1b,96,test_coord_finder_7,NameError,test,name 'coord_finder' is not defined
1b,96,test_coord_finder_8,NameError,test,name 'coord_finder' is not defined
1b,97,test___transform_coors_1,NameError,test,name '__transform_coors' is not defined
1b,97,test___transform_coors_2,NameError,test,name '__transform_coors' is not defined
1b,97,test___transform_coors_3,NameError,test,name '__transform_coors' is not defined
1b,97,test___transform_coors_4,NameError,test,name '__transform_coors' is not defined
1b,97,test___transform_coors_5,NameError,test,name '__transform_coors' is not defined
1b,97,test___transform_coors_6,NameError,test,name '__transform_coors' is not defined
1b,97,test___transform_coors_7,NameError,test,name '__transform_coors' is not defined
1b,97,test___transform_coors_8,NameError,test,name '__transform_coors' is not defined
1b,98,test_lumen_type_1,NameError,test,name 'lumen_type' is not defined
1b,98,test_lumen_type_2,NameError,test,name 'lumen_type' is not defined
1b,98,test_lumen_type_3,NameError,test,name 'lumen_type' is not defined
1b,98,test_lumen_type_4,NameError,test,name 'lumen_type' is not defined
1b,98,test_lumen_type_5,NameError,test,name 'lumen_type' is not defined
1b,98,test_lumen_type_6,NameError,test,name 'lumen_type' is not defined
1b,98,test_lumen_type_7,NameError,test,name 'lumen_type' is not defined
1b,98,test_lumen_type_8,NameError,test,name 'lumen_type' is not defined
1b,99,test_judge_1d100_with_7_ver_1,NameError,test,name 'judge_1d100_with_7_ver' is not defined
1b,99,test_judge_1d100_with_7_ver_2,NameError,test,name 'judge_1d100_with_7_ver' is not defined
1b,99,test_judge_1d100_with_7_ver_3,NameError,test,name 'judge_1d100_with_7_ver' is not defined
1b,99,test_judge_1d100_with_7_ver_4,NameError,test,name 'judge_1d100_with_7_ver' is not defined
1b,99,test_judge_1d100_with_7_ver_5,NameError,test,name 'judge_1d100_with_7_ver' is not defined
1b,99,test_judge_1d100_with_7_ver_6,NameError,test,name 'judge_1d100_with_7_ver' is not defined
1b,99,test_judge_1d100_with_7_ver_7,NameError,test,name 'judge_1d100_with_7_ver' is not defined
